V jenkins:promoted_builds ---expect--> org.jenkins-ci.plugins:promoted-builds
   > 17.5011  org.jenkins-ci.plugins:categorized-view
   > 17.5011  org.jenkins-ci.plugins:async-job
   > 17.5011  org.jenkins-ci.plugins:newrelic-insights
   > 17.5011  org.jenkins-ci.plugins:blueocean-autofavorite
   > 17.5011  org.jenkins-ci.plugins:queue-cleanup
   > 17.5011  org.jenkins-ci.plugins:jobtype-column
   > 17.5011  org.jenkins-ci.plugins:acunetix-360-scan
   > 17.5011  org.jenkins-ci.plugins:selenium-builder
   > 17.5011  org.jenkins-ci.plugins:couchdb-statistics
   > 17.5011  org.jenkins-ci.plugins:figlet-buildstep
   > 17.5011  org.jenkins-ci.plugins:authorize-project
   > 17.5011  org.jenkins-ci.plugins:viber-notification
   > 17.5011  org.jenkins-ci.plugins:build-timestamp
   > 17.5011  org.jenkins-ci.plugins:bulk-builder
   > 17.5011  org.jenkins-ci.plugins:azure-acs
   > 17.5011  org.jenkins-ci.plugins:job-exporter
   > 17.5011  org.jenkins-ci.plugins:rigor-optimization
   > 17.5011  org.jenkins-ci.plugins:bitbucket-oauth
   > 17.5011  org.jenkins-ci.plugins:audit2db
   > 17.5011  org.jenkins-ci.plugins:branch-api
   > 17.5011  org.jenkins-ci.plugins:nodepool-agents
   > 17.5011  org.jenkins-ci.plugins:offlineonfailure-plugin
   > 17.5011  org.jenkins-ci.plugins:oneandone-cloudserver
   > 17.5011  org.jenkins-ci.plugins:tepco-epuw
   > 17.5011  org.jenkins-ci.plugins:chef-tracking
   > 17.5011  org.jenkins-ci.plugins:sse-gateway
   > 17.5011  org.jenkins-ci.plugins:yaml-axis
   > 17.5011  org.jenkins-ci.plugins:rabbitmq-publisher
   > 17.5011  org.jenkins-ci.plugins:device-watcher
   > 17.5011  org.jenkins-ci.plugins:mailmap-resolver
   > 17.5011  org.jenkins-ci.plugins:matrix-auth
   > 17.5011  org.jenkins-ci.plugins:dbCharts
   > 17.5011  org.jenkins-ci.plugins:build-line
